etrit berisha
lucas vazquez
pedro rodriguez
aritz aduriz
nolito
hugo lloris
steve mandanda
benoit costil
christophe jallet
patrice evra
adil rami
eliaquim mangala
lucas digne
bacary sagna
laurent koscielny
samuel umtiti
n'golo kante
yohan cabaye
dimitri payet
morgan schneiderlin
blaise matuidi
paul pogba
moussa sissoko
kingsley coman
antoine griezmann
olivier giroud
andre-pierre gignac
anthony martial
gabor kiraly
denes dibusz
peter gulacsi
adam lang
mihaly korhut
tamas kadar
attila fiola
adam pinter
richard guzmics
barnabas bese
roland juhasz
akos elek
adam nagy
gergo lovrencsics
laszlo kleinheisler
zoltan stieber
balazs dzsudzsak
adam szalai
zoltan gera
krisztian nemeth
daniel bode
nemanja nikolic
tamas priskin
michael mcgovern
roy carroll
alan mannus
conor mclaughlin
gareth mcauley
jonny evans
chris baird
luke mccullough
paddy mcnair
aaron hughes
craig cathcart
lee hodson
shane ferguson
steven davis
corry evans
stuart dallas
oliver norwood
jamie ward
josh magennis
niall mcginn
will grigg
kyle lafferty
conor washington
hannes halldorsson
ogmundur kristinsson
ingvar jonsson
birkir saevarsson
haukur heidar hauksson
hjortur hermannsson
sverrir ingason
ragnar sigurdsson
elmar bjarnason
hordur magnusson
arnor ingvi traustason
ari skulason
birkir bjarnason
gylfi sigurdsson
kari arnason
runar mar sigurjonsson
aron gunnarsson
emil hallfredsson
johann gudmundsson
kolbeinn sigthorsson
alfred finnbogason
jon dadi bodvarsson
eidur gudjohnsen
gianluigi buffon
salvatore sirigu
federico marchetti
mattia de sciglio
giorgio chiellini
matteo darmian
angelo ogbonna
andrea barzagli
leonardo bonucci
antonio candreva
alessandro florenzi
thiago motta
stefano sturaro
daniele de rossi
marco parolo
federico bernardeschi
emanuele giaccherini
simone zaza
graziano pelle
ciro immobile
eder
lorenzo insigne
stephan el shaarawy
wayne hennessey
owain fon williams
danny ward
chris gunter
neil taylor
ben davies
james chester
ashley williams
jazz richards
james collins
joe allen
andy king
aaron ramsey
david edwards
joe ledley
jonathan williams
david vaughan
hal robson-kanu
gareth bale
george williams
david cotterill
sam vokes
simon church
wojciech szczesny
artur boruc
lukasz fabianski
michal pazdan
artur jedrzejczyk
thiago cionek
thiago cionek
jakub wawrzyniak
kamil glik
bartosz salamon
lukasz piszczek
krzysztof maczynski
tomasz jodlowiec
karol linetty
grzegorz krychowiak
kamil grosicki
jakub blaszczykowski
slawomir peszko
piotr zielinski
bartosz kapustka
filip starzynski
arkadiusz milik
robert lewandowski
rui patricio
anthony lopes
eduardo
bruno alves
pepe
jose fonte
raphael guerreiro
ricardo carvalho
eliseu
cedric
joao moutinho
joao mario
vieirinha
danilo
william carvalho
andre gomes
renato sanches
rafa silva
adrien silva
cristiano ronaldo
eder
nani
ricardo quaresma
keiren westwood
shay given
darren randolph
seamus coleman
ciaran clark
john o'shea
richard keogh
shane duffy
cyrus christie
stephen ward
glenn whelan
aiden mcgeady
james mccarthy
james mcclean
jeff hendrick
david meyler
robbie brady
wes hoolahan
stephen quinn
shane long
robbie keane
jon walters
daryl murphy
petr cech
tomas vaclik
tomas koubek
pavel kaderabek
michal kadlec
theodor gebre selassie
roman hubnik
tomas sivok
david limbersky
marek suchy
borek dockal
tomas rosicky
daniel pudil
jaroslav plasil
daniel kolar
david pavelka
josef sural
ladislav krejci
jiri skalak
vladimir darida
tomas necid
milan skoda
david lafata
costel pantilimon
ciprian tatarusanu
silviu lung
alexandru matel
razvan rat
cosmin moti
vlad chiriches
valerica gaman
steliano filip
dragos grigore
cristian sapunaru
ovidiu hoban
alexandru chipciu
mihai pintilii
nicolae stanciu
gabriel torje
lucian sanmartean
andrei prepelita
adrian popa
denis alibec
claudiu keseru
florin andone
bogdan stancu
igor akinfeev
yuri lodygin
guilherme
roman shishkin
igor smolnikov
sergei ignashevich
roman neustadter
aleksei berezutski
vasili berezutski
georgi schennikov
dmitri kombarov
artur yusupov
denis glushakov
pavel mamaev
aleksandr golovin
roman shirokov
oleg shatov
oleg ivanov
aleksandr samedov
dmitri torbinski
aleksandr kokorin
fedor smolov
artem dzyuba
jan mucha
jan novota
matus kozacik
peter pekarik
martin skrtel
jan durica
norbert gyomber
milan skriniar
tomas hubocan
kornel salata
dusan svento
jan gregus
vladimir weiss
ondrej duda
miroslav stoch
patrik hrosovsky
marek hamsik
juraj kucka
robert mak
viktor pecovsky
stanislav sestak
adam nemec
michal duris
andreas isaksson
robin olsen
patrik carlgren
mikael lustig
erik johansson
andreas granqvist
martin olsson
pontus jansson
victor lindelof
ludwig augustinsson
emil forsberg
sebastian larsson
albin ekdal
kim kallstrom
oscar hiljemark
pontus wernbloom
oscar lewicki
jimmy durmaz
erkan zengin
zlatan ibrahimovic
marcus berg
emir kujovic
john guidetti
yann sommer
marwin hitz
roman burki
stephan lichtsteiner
francois moubandje
nico elvedi
steve von bergen
michael lang
ricardo rodriguez
johan djourou
fabian schar
fabian frei
granit xhaka
valon behrami
denis zakaria
blerim dzemaili
gelson fernandes
xherdan shaqiri
breel embolo
haris seferovic
shani tarashaj
admir mehmedi
eren derdiyok
volkan babacan
onur kivrak
harun tekin
semih kaya
hakan balta
ahmet calik
gokhan gonul
ismail koybasi
caner erkin
sener ozbayrakli
nuri sahin
hakan calhanoglu
selcuk inan
arda turan
olcay sahan
oguzhan ozyakup
mehmet topal
ozan tufan
yunus malli
volkan sen
cenk tosun
burak yilmaz
emre mor
denys boyko
andriy pyatov
mykyta shevchenko
bohdan butko
yevhen khacheridi
olexandr kucher
vyacheslav shevchuk
artem fedetskiy
yaroslav rakitskiy
anatoliy tymoshchuk
taras stepanenko
andriy yarmolenko
viktor kovalenko
yevhen konoplyanka
ruslan rotan
serhiy sydorchuk
serhiy rybalka
denys garmash
olexandr zinchenko
olexandr karavaev
roman zozulya
yevhen seleznyov
pylyp budkivskiy
